Store,avg_sales,median_sales,std_sales,avg_customers,promo_rate,promo2_rate,competition_dist,competition_flag,holiday_rate,store_type,assortment,avg_log_sales,sales_cv,cluster
1,4759.096030729834,4647.0,1012.1063931339861,564.0499359795134,0.44814340588988477,0.0,1270.0,0,0.20486555697823303,c,a,8.446708352848832,0.21266778114976884,3
2,4953.900510204082,4783.0,1610.1491019698924,583.9987244897959,0.45153061224489793,0.3622448979591837,570.0,1,0.19770408163265307,a,a,8.453979252685727,0.3250265318516784,3
3,6942.568677792041,6619.0,2193.3838042966454,750.0770218228498,0.4492939666238768,0.3645699614890886,14130.0,0,0.20025673940949937,a,a,8.795940791932324,0.3159326045002425,3
4,9638.401785714286,9430.5,1936.0318808651007,1321.7525510204082,0.4502551020408163,0.0,620.0,1,0.20280612244897958,c,c,9.154714057757408,0.20086648428939954,0
5,4676.274711168165,4616.0,1765.7456282447836,537.3401797175867,0.45057766367137353,0.0,29910.0,0,0.20410783055198972,a,a,8.3696164167919,0.3775966420509304,3
6,5509.946153846154,5462.5,1577.3801331284312,635.2346153846154,0.4512820512820513,0.0,310.0,1,0.20384615384615384,a,a,8.572504496576213,0.2862786838719576,3
7,8817.050890585242,8494.0,2448.618883814134,948.5610687022901,0.45038167938931295,0.0,24000.0,0,0.18702290076335878,a,c,9.046487982326727,0.27771404681680417,0
8,5539.3584183673465,5356.0,1894.0945579586112,658.1977040816327,0.4502551020408163,0.0,7520.0,0,0.18494897959183673,a,a,8.556469939009157,0.3419339235529863,3
9,6562.337612323492,6215.0,1628.6539398516463,579.8164313222079,0.4492939666238768,0.0,2030.0,0,0.20025673940949937,a,c,8.76092903980434,0.24818197966425534,0
10,5568.4209183673465,5395.5,1051.1327740493298,593.9553571428571,0.4502551020408163,0.0,3160.0,0,0.22193877551020408,a,a,8.608234219940385,0.18876675981554916,3
11,8030.977040816327,7571.5,2242.5260261055687,1130.091836734694,0.4502551020408163,0.3622448979591837,960.0,1,0.18494897959183673,a,c,8.958639424451889,0.27923452086940875,0
12,7589.598214285715,7171.5,2055.967799328141,896.952806122449,0.4502551020408163,0.3622448979591837,1070.0,0,0.18494897959183673,a,c,8.901016626826866,0.2708928379710857,0
13,5034.747181964573,4719.0,1617.506666141505,382.8341384863124,0.44122383252818037,0.3107890499194847,310.0,1,0.17391304347826086,d,a,8.474882504853772,0.3212686968544763,1
14,5508.567394094994,5391.0,1479.6472358071142,631.4672657252888,0.4492939666238768,0.3645699614890886,1300.0,0,0.20025673940949937,a,a,8.577822189578061,0.2686083567559231,3
15,6672.844387755102,6418.0,1625.6661575976307,663.4017857142857,0.4502551020408163,0.3622448979591837,4110.0,0,0.18494897959183673,d,c,8.778468584289215,0.24362416731623235,1
16,7680.683397683398,7478.0,1904.3579559463253,852.4774774774775,0.44787644787644787,0.0,3270.0,0,0.1788931788931789,a,c,8.91613385634593,0.2479412126947854,0
17,6335.6624040920715,5997.0,2497.622418941427,791.6751918158568,0.4514066496163683,0.36061381074168797,50.0,1,0.1956521739130435,a,a,8.669964721109812,0.39421646224840906,3
18,6560.277493606138,6362.5,1783.419400041794,713.2800511508951,0.4514066496163683,0.36061381074168797,13840.0,0,0.1956521739130435,d,c,8.753820010887784,0.2718512138823358,1
19,6464.915275994866,6247.0,1842.0713550596743,624.6700898587933,0.4492939666238768,0.2554557124518614,3240.0,0,0.20025673940949937,a,c,8.73396475416167,0.28493356469798486,0
20,7756.9353796445885,7804.0,1695.430874493675,848.5589660743134,0.4378029079159935,0.3651050080775444,2340.0,0,0.17609046849757673,d,a,8.930858711158255,0.21856967881191197,1
21,5482.320463320463,5278.0,1790.771323911026,516.3616473616473,0.44787644787644787,0.36293436293436293,550.0,1,0.1788931788931789,c,c,8.558363922276857,0.3266447731197412,0
22,4525.857835218094,4311.0,1140.0046112788557,504.2471728594507,0.4410339256865913,0.36995153473344106,1040.0,0,0.17609046849757673,a,a,8.387633995747171,0.2518869687880773,3
23,5520.281129653402,5181.0,1605.5300230134883,482.43645699614893,0.4492939666238768,0.0,4060.0,0,0.17586649550706032,d,a,8.577914509340872,0.29084207584809985,1
24,9388.28626444159,8875.0,2604.8210323838753,835.4300385109115,0.4492939666238768,0.3645699614890886,4590.0,0,0.20025673940949937,a,c,9.113231214801006,0.27745436802984064,0
25,11139.038563829787,10808.0,2862.5967227640194,1566.186170212766,0.449468085106383,0.0,430.0,1,0.2074468085106383,c,a,9.26487390897032,0.2569877737975807,3
26,6671.695652173913,6363.5,2012.8004028395899,556.0728900255755,0.4514066496163683,0.0,2300.0,0,0.1956521739130435,d,a,8.762923504525391,0.30169247935998644,1
27,9478.57381258023,8684.0,2915.379757284599,1074.7586649550706,0.4492939666238768,0.3645699614890886,60.0,1,0.20025673940949937,a,a,9.11458043121491,0.30757578248905165,3
28,5293.060959792478,5036.0,2149.913201550509,581.3177691309987,0.45265888456549935,0.2607003891050584,1200.0,0,0.19714656290531776,a,a,8.46460401968011,0.40617578710727686,3
29,7364.775353016688,6887.0,2204.586750381418,653.7008985879332,0.4492939666238768,0.0,2170.0,0,0.20025673940949937,d,c,8.86389980900928,0.2993420226291622,1
30,5294.782496782497,5149.0,1542.345143458142,777.1274131274131,0.44787644787644787,0.2548262548262548,40.0,1,0.20077220077220076,a,a,8.532005547946591,0.29129527877592404,3
31,5862.427295918367,5716.5,1333.9646416623827,586.0510204081633,0.4502551020408163,0.0,9800.0,0,0.18494897959183673,d,c,8.652893221768956,0.2275447650482825,1
32,4067.8212560386473,3896.0,1278.9942679128415,477.1867954911433,0.44122383252818037,0.3107890499194847,2910.0,0,0.17391304347826086,a,a,8.259753107037758,0.314417519209868,3
33,8436.659820282413,8248.0,1745.3864720537538,836.3093709884467,0.4492939666238768,0.0,1320.0,0,0.20025673940949937,a,c,9.01964734936911,0.20688121949135632,0
34,8031.485969387755,7807.5,1513.0003548832915,993.4591836734694,0.4502551020408163,0.0,2240.0,0,0.20280612244897958,c,a,8.974460457971388,0.18838361427139838,3
